copy,copy,copy,,,,,Link,Pipette,Model,Result,Reasons,Warnings,Scale,Robot,test_version,Min CV,Min %D,Avg. Min Water Remaining (uL),tips,Asp sample Range (uL),Disp sample Range (uL),Max CV,Max %D,Avg. Max Water Remaining,tips,Asp sample Range (uL),Disp sample Range (uL),Avg Stem Temp (C),Avg Stem Hum (%),Avg Air Temp (C),Avg Air Hum (%),Mid1 CV,Mid1 %D,Avg. Mid1 Water Remaining (uL),tips,Mid2 CV,Mid2 %D,Avg. Mid1 Water Remaining (uL),tips,measure-init-blank-ul-channel_1-trial-1-grams-average,test_time_utc,pipette_mount,test_operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,user_volumes,FALSE,,,,,,,,,,,,,,,,,,5,0.097,2616.600,50.394,0.787,2643.300,50.296,0.593,-56.83,,,,,,,,,,,,,,,,,,,VOLUMES,,,,,,,,,,,,,trial-4-aspirate-50.0-ul-channel_1,2530,5.04E+01,trial,4,aspirate,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-celsius-pipette,339.7,2.40E+01,measure,init,blank,ul,channel_1,trial,2,celsius,pipette,,,,encoder-volume-1.0-channel_0-trial-7-end-target,1684.3,59.363,encoder,volume,1,channel_0,trial,7,end,target,,
3.5,kind,ConfigType.gravimetric,,,,,,,,,,,,,,,,,,6,0.130,2730.300,50.416,0.831,2757.000,50.286,0.572,-56.83,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_all-average,2090.6,1.06,volume,aspirate,1,channel_all,average,,,,,,trial-4-dispense-50.0-ul-channel_1,2530.1,5.03E+01,trial,4,dispense,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-humidity-pipette,339.8,4.93E+01,measure,init,blank,ul,channel_1,trial,2,humidity,pipette,,,,encoder-volume-1.0-channel_0-trial-7-end-encoder,1684.4,5.94E+01,encoder,volume,1,channel_0,trial,7,end,encoder,,
3.6,extra,FALSE,,,,,,,,,,,,,,,,,,7,0.110,2844.300,50.393,0.787,2871.000,50.283,0.567,-56.83,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_all-cv,2090.7,1.17,volume,aspirate,1,channel_all,cv,,,,,,trial-4-liquid_height-50.0-ul-channel_1,2530.1,27.38110189,trial,4,liquid_height,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-celsius-air,339.9,21.6,measure,init,blank,ul,channel_1,trial,2,celsius,air,,,,encoder-volume-1.0-channel_0-trial-7-end-drift,1684.5,-2.00E-03,encoder,volume,1,channel_0,trial,7,end,drift,,
3.6,jog,TRUE,,,,,,,,,,,,,,,,,,8,0.171,2958.600,50.379,0.757,2985.300,50.208,0.415,-56.83,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_all-d,2090.8,5.53,volume,aspirate,1,channel_all,d,,,,,,trial-5-aspirate-50.0-ul-channel_1,2645.2,5.04E+01,trial,5,aspirate,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-humidity-air,339.9,4.79E+01,measure,init,blank,ul,channel_1,trial,2,humidity,air,,,,encoder-volume-1.0-channel_0-trial-8-start-target,1795.8,61.5,encoder,volume,1,channel_0,trial,8,start,target,,
3.7,same_tip,FALSE,,,,,,,,,,,,,,,,,,9,0.149,3073.200,50.385,0.771,3100.000,50.237,0.473,-56.83,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_all-celsius-pipette-avg,0,None,volume,aspirate,1,channel_all,celsius,pipette,avg,,,,trial-5-dispense-50.0-ul-channel_1,2645.3,5.03E+01,trial,5,dispense,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-pascals-air,340,1.00E+03,measure,init,blank,ul,channel_1,trial,2,pascals,air,,,,encoder-volume-1.0-channel_0-trial-8-start-encoder,1795.9,61.506,encoder,volume,1,channel_0,trial,8,start,encoder,,
3.7,ignore_fail,TRUE,,,,,,,,,,,,,,,,,,10,0.177,3188.200,50.354,0.709,3215.000,50.178,0.355,-56.83,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_all-humidity-pipette-avg,0,None,volume,aspirate,1,channel_all,humidity,pipette,avg,,,,trial-5-liquid_height-50.0-ul-channel_1,2645.4,27.37944932,trial,5,liquid_height,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-celsius-liquid,340,2.50E+01,measure,init,blank,ul,channel_1,trial,2,celsius,liquid,,,,encoder-volume-1.0-channel_0-trial-8-start-drift,1796,6.00E-03,encoder,volume,1,channel_0,trial,8,start,drift,,
3.8,mode,,,,,,,,,,,,,,,,,,Average,,0.134,,50.424,0.847,,50.289,0.578,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_all-average,2090.8,1.04,volume,dispense,1,channel_all,average,,,,,,trial-6-aspirate-50.0-ul-channel_1,2759,50.41570242,trial,6,aspirate,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-grams-average,340.1,16.51054056,measure,init,blank,ul,channel_1,trial,2,grams,average,,,,encoder-volume-1.0-channel_0-trial-8-end-target,1796,59.362,encoder,volume,1,channel_0,trial,8,end,target,,
3.8,labware_on_scale,radwag_pipette_calibration_vial,,,,,,,,,,,,,,,,,CV,,,,0.129,,,0.201,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_all-cv,2090.9,0.89,volume,dispense,1,channel_all,cv,,,,,,trial-6-dispense-50.0-ul-channel_1,2759,5.03E+01,trial,6,dispense,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-grams-cv,340.1,2.15E-07,measure,init,blank,ul,channel_1,trial,2,grams,cv,,,,encoder-volume-1.0-channel_0-trial-8-end-encoder,1796.1,59.361,encoder,volume,1,channel_0,trial,8,end,encoder,,
3.9,slot_scale,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_all-d,2091,3.57,volume,dispense,1,channel_all,d,,,,,,trial-6-liquid_height-50.0-ul-channel_1,2759.1,2.74E+01,trial,6,liquid_height,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-grams-min,340.2,1.65E+01,measure,init,blank,ul,channel_1,trial,2,grams,min,,,,encoder-volume-1.0-channel_0-trial-8-end-drift,1796.2,-0.001,encoder,volume,1,channel_0,trial,8,end,drift,,
3.9,blank,TRUE,,,,MID1 VOLUME,,,,,,,,,,,,,Channel_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_all-celsius-pipette-avg,0,None,volume,dispense,1,channel_all,celsius,pipette,avg,,,,trial-7-aspirate-50.0-ul-channel_1,2873,5.04E+01,trial,7,aspirate,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-grams-max,340.2,1.65E+01,measure,init,blank,ul,channel_1,trial,2,grams,max,,,,encoder-volume-1.0-channel_0-trial-9-start-target,1907.9,61.5,encoder,volume,1,channel_0,trial,9,start,target,,
4,gantry_speed,40,,,,,,,,,,,,,,,,,Mid1 Volume,Trial,Water Remaining,Time from Start (s),Aspirate,Aspirate %D,Time from Start (s),Dispense,Dispense %D,Aspirate Travel (mm),,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_all-humidity-pipette-avg,0,None,volume,dispense,1,channel_all,humidity,pipette,avg,,,,trial-7-dispense-50.0-ul-channel_1,2873.1,50.28325898,trial,7,dispense,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-samples-start-time,340.3,1.78E+09,measure,init,blank,ul,channel_1,trial,2,samples,start,time,,,encoder-volume-1.0-channel_0-trial-9-start-encoder,1908,61.507,encoder,volume,1,channel_0,trial,9,start,encoder,,
4,scale_delay,10,,,,,,,,,,,,,,,,,10,1,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_1-average,2085.8,1.06,volume,aspirate,1,channel_1,average,,,,,,trial-7-liquid_height-50.0-ul-channel_1,2873.1,2.74E+01,trial,7,liquid_height,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-samples-duration,340.4,9.812114,measure,init,blank,ul,channel_1,trial,2,samples,duration,,,,encoder-volume-1.0-channel_0-trial-9-start-drift,1908.1,7.00E-03,encoder,volume,1,channel_0,trial,9,start,drift,,
4.1,isolate_channels,,,,,,,,,,,,,,,,,,,2,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_1-cv,2085.9,1.17,volume,aspirate,1,channel_1,cv,,,,,,trial-8-aspirate-50.0-ul-channel_1,2987.3,5.04E+01,trial,8,aspirate,50,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-2-samples-count,340.4,5.00E+01,measure,init,blank,ul,channel_1,trial,2,samples,count,,,,encoder-volume-1.0-channel_0-trial-9-end-target,1908.1,59.363,encoder,volume,1,channel_0,trial,9,end,target,,
4.2,isolate_volumes,,,,,,,,,,,,,,,,,,,3,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_1-d,2086,5.53,volume,aspirate,1,channel_1,d,,,,,,trial-8-dispense-50.0-ul-channel_1,2987.4,5.02E+01,trial,8,dispense,50,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-2-celsius-pipette,365.6,2.40E+01,measure,aspirate,blank,ul,channel_1,trial,2,celsius,pipette,,,,encoder-volume-1.0-channel_0-trial-9-end-encoder,1908.2,59.361,encoder,volume,1,channel_0,trial,9,end,encoder,,
3,CONFIG_END,,,,,,,,,,,,,,,,,,,4,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_1-celsius-pipette-avg,2086,26.01,volume,aspirate,1,channel_1,celsius,pipette,avg,,,,trial-8-liquid_height-50.0-ul-channel_1,2987.5,2.74E+01,trial,8,liquid_height,50,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-2-humidity-pipette,365.6,4.92E+01,measure,aspirate,blank,ul,channel_1,trial,2,humidity,pipette,,,,encoder-volume-1.0-channel_0-trial-9-end-drift,1908.3,-2.00E-03,encoder,volume,1,channel_0,trial,9,end,drift,,
0,_____________,,,,,,,,,,,,,,,,,,,5,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-channel_1-humidity-pipette-avg,2086.1,42.04,volume,aspirate,1,channel_1,humidity,pipette,avg,,,,trial-9-aspirate-50.0-ul-channel_1,3102,50.38546556,trial,9,aspirate,50,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-2-celsius-air,365.7,21.6,measure,aspirate,blank,ul,channel_1,trial,2,celsius,air,,,,encoder-volume-1.0-channel_0-trial-10-start-target,2020.4,6.15E+01,encoder,volume,1,channel_0,trial,10,start,target,,
0,VOLUMES_START,,,,,,,,,,,,,,,,,,,6,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_1-average,2086.2,1.04,volume,dispense,1,channel_1,average,,,,,,trial-9-dispense-50.0-ul-channel_1,3102.1,5.02E+01,trial,9,dispense,50,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-2-humidity-air,365.7,4.78E+01,measure,aspirate,blank,ul,channel_1,trial,2,humidity,air,,,,encoder-volume-1.0-channel_0-trial-10-start-encoder,2020.5,61.506,encoder,volume,1,channel_0,trial,10,start,encoder,,
2090.6,volume-aspirate-1.0-channel_all-average,1.06,,,,,,,,,,,,,,,,,,7,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_1-cv,2086.3,0.89,volume,dispense,1,channel_1,cv,,,,,,trial-9-liquid_height-50.0-ul-channel_1,3102.1,2.74E+01,trial,9,liquid_height,50,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-2-pascals-air,365.8,1.00E+03,measure,aspirate,blank,ul,channel_1,trial,2,pascals,air,,,,encoder-volume-1.0-channel_0-trial-10-start-drift,2020.5,0.006,encoder,volume,1,channel_0,trial,10,start,drift,,
2090.7,volume-aspirate-1.0-channel_all-cv,1.17,,,,,,,,,,,,,,,,,,8,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_1-d,2086.3,3.57,volume,dispense,1,channel_1,d,,,,,,trial-10-aspirate-50.0-ul-channel_1,3217,50.35429476,trial,10,aspirate,50,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-2-celsius-liquid,365.8,2.50E+01,measure,aspirate,blank,ul,channel_1,trial,2,celsius,liquid,,,,encoder-volume-1.0-channel_0-trial-10-end-target,2020.6,5.94E+01,encoder,volume,1,channel_0,trial,10,end,target,,
2090.8,volume-aspirate-1.0-channel_all-d,5.53,,,,,,,,,,,,,,,,,,9,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_1-celsius-pipette-avg,2086.4,25.99,volume,dispense,1,channel_1,celsius,pipette,avg,,,,trial-10-dispense-50.0-ul-channel_1,3217.1,50.17767597,trial,10,dispense,50,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-2-grams-average,365.9,16.51051028,measure,aspirate,blank,ul,channel_1,trial,2,grams,average,,,,encoder-volume-1.0-channel_0-trial-10-end-encoder,2020.7,59.361,encoder,volume,1,channel_0,trial,10,end,encoder,,
0,volume-aspirate-1.0-channel_all-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,10,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-channel_1-humidity-pipette-avg,2086.5,42.18,volume,dispense,1,channel_1,humidity,pipette,avg,,,,trial-10-liquid_height-50.0-ul-channel_1,3217.1,2.74E+01,trial,10,liquid_height,50,ul,channel_1,,,,measure-aspirate-blank-ul-channel_1-trial-2-grams-cv,366,2.15E-07,measure,aspirate,blank,ul,channel_1,trial,2,grams,cv,,,,encoder-volume-1.0-channel_0-trial-10-end-drift,2020.7,-0.002,encoder,volume,1,channel_0,trial,10,end,drift,,
0,volume-aspirate-1.0-channel_all-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_1-average,2086.5,1.05,volume,aspirate,1,trial_1,average,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-2-grams-min,366,1.65E+01,measure,aspirate,blank,ul,channel_1,trial,2,grams,min,,,,encoder-volume-50.0-channel_0-trial-1-start-target,2140.5,71.5,encoder,volume,50,channel_0,trial,1,start,target,,
2090.8,volume-dispense-1.0-channel_all-average,1.04,,,,,,,,,,,,,,,,,CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_1-cv,2086.6,-1,volume,aspirate,1,trial_1,cv,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-2-grams-max,366.1,1.65E+01,measure,aspirate,blank,ul,channel_1,trial,2,grams,max,,,,encoder-volume-50.0-channel_0-trial-1-start-encoder,2140.6,71.506,encoder,volume,50,channel_0,trial,1,start,encoder,,
2090.9,volume-dispense-1.0-channel_all-cv,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_1-d,2086.7,5.01,volume,aspirate,1,trial_1,d,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-2-samples-start-time,366.1,1.78E+09,measure,aspirate,blank,ul,channel_1,trial,2,samples,start,time,,,encoder-volume-50.0-channel_0-trial-1-start-drift,2140.7,0.006,encoder,volume,50,channel_0,trial,1,start,drift,,
2091,volume-dispense-1.0-channel_all-d,3.57,,,,MID2 VOLUME,,,,,,,,,,,,,Channel_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_1-celsius-pipette-avg,0,None,volume,aspirate,1,trial_1,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-2-samples-duration,366.2,9.813654184,measure,aspirate,blank,ul,channel_1,trial,2,samples,duration,,,,encoder-volume-50.0-channel_0-trial-1-end-target,2140.8,4.67E+00,encoder,volume,50,channel_0,trial,1,end,target,,
0,volume-dispense-1.0-channel_all-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,Mid2 Volume,Trial,Water Remaining,Time from Start (s),Aspirate,Aspirate %D,Time from Start (s),Dispense,Dispense %D,Aspirate Travel (mm),,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_1-humidity-pipette-avg,0,None,volume,aspirate,1,trial_1,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-2-samples-count,366.2,5.00E+01,measure,aspirate,blank,ul,channel_1,trial,2,samples,count,,,,encoder-volume-50.0-channel_0-trial-1-end-encoder,2140.8,4.675,encoder,volume,50,channel_0,trial,1,end,encoder,,
0,volume-dispense-1.0-channel_all-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_1-average,2086.7,1.05,volume,dispense,1,trial_1,average,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-celsius-pipette,390.8,2.41E+01,measure,dispense,blank,ul,channel_1,trial,2,celsius,pipette,,,,encoder-volume-50.0-channel_0-trial-1-end-drift,2140.9,0.001,encoder,volume,50,channel_0,trial,1,end,drift,,
2085.8,volume-aspirate-1.0-channel_1-average,1.06,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_1-cv,2086.8,-1,volume,dispense,1,trial_1,cv,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-humidity-pipette,390.8,4.89E+01,measure,dispense,blank,ul,channel_1,trial,2,humidity,pipette,,,,encoder-volume-50.0-channel_0-trial-2-start-target,2254.7,7.15E+01,encoder,volume,50,channel_0,trial,2,start,target,,
2085.9,volume-aspirate-1.0-channel_1-cv,1.17,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_1-d,2086.9,4.64,volume,dispense,1,trial_1,d,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-celsius-air,390.9,21.6,measure,dispense,blank,ul,channel_1,trial,2,celsius,air,,,,encoder-volume-50.0-channel_0-trial-2-start-encoder,2254.7,7.15E+01,encoder,volume,50,channel_0,trial,2,start,encoder,,
2086,volume-aspirate-1.0-channel_1-d,5.53,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_1-celsius-pipette-avg,0,None,volume,dispense,1,trial_1,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-humidity-air,390.9,47.7,measure,dispense,blank,ul,channel_1,trial,2,humidity,air,,,,encoder-volume-50.0-channel_0-trial-2-start-drift,2254.8,0.005,encoder,volume,50,channel_0,trial,2,start,drift,,
2086,volume-aspirate-1.0-channel_1-celsius-pipette-avg,26.01,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_1-humidity-pipette-avg,0,None,volume,dispense,1,trial_1,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-pascals-air,391,1.00E+03,measure,dispense,blank,ul,channel_1,trial,2,pascals,air,,,,encoder-volume-50.0-channel_0-trial-2-end-target,2254.9,4.673,encoder,volume,50,channel_0,trial,2,end,target,,
2086.1,volume-aspirate-1.0-channel_1-humidity-pipette-avg,42.04,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_2-average,2086.9,1.05,volume,aspirate,1,trial_2,average,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-celsius-liquid,391,2.50E+01,measure,dispense,blank,ul,channel_1,trial,2,celsius,liquid,,,,encoder-volume-50.0-channel_0-trial-2-end-encoder,2255,4.67E+00,encoder,volume,50,channel_0,trial,2,end,encoder,,
2086.2,volume-dispense-1.0-channel_1-average,1.04,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_2-cv,2087,-1,volume,aspirate,1,trial_2,cv,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-grams-average,391.1,16.51047495,measure,dispense,blank,ul,channel_1,trial,2,grams,average,,,,encoder-volume-50.0-channel_0-trial-2-end-drift,2255,0.001,encoder,volume,50,channel_0,trial,2,end,drift,,
2086.3,volume-dispense-1.0-channel_1-cv,0.89,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_2-d,2087.1,5.03,volume,aspirate,1,trial_2,d,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-grams-cv,391.1,3.62E-07,measure,dispense,blank,ul,channel_1,trial,2,grams,cv,,,,encoder-volume-50.0-channel_0-trial-3-start-target,2369.2,71.5,encoder,volume,50,channel_0,trial,3,start,target,,
2086.3,volume-dispense-1.0-channel_1-d,3.57,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_2-celsius-pipette-avg,0,None,volume,aspirate,1,trial_2,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-grams-min,391.2,1.65E+01,measure,dispense,blank,ul,channel_1,trial,2,grams,min,,,,encoder-volume-50.0-channel_0-trial-3-start-encoder,2369.2,71.505,encoder,volume,50,channel_0,trial,3,start,encoder,,
2086.4,volume-dispense-1.0-channel_1-celsius-pipette-avg,25.99,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_2-humidity-pipette-avg,0,None,volume,aspirate,1,trial_2,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-grams-max,391.3,16.510486,measure,dispense,blank,ul,channel_1,trial,2,grams,max,,,,encoder-volume-50.0-channel_0-trial-3-start-drift,2369.3,0.005,encoder,volume,50,channel_0,trial,3,start,drift,,
2086.5,volume-dispense-1.0-channel_1-humidity-pipette-avg,42.18,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_2-average,2087.1,1.03,volume,dispense,1,trial_2,average,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-samples-start-time,391.3,1.78E+09,measure,dispense,blank,ul,channel_1,trial,2,samples,start,time,,,encoder-volume-50.0-channel_0-trial-3-end-target,2369.4,4.673,encoder,volume,50,channel_0,trial,3,end,target,,
2086.5,volume-aspirate-1.0-trial_1-average,1.05,,,,,,,,,,,,,,,,,CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_2-cv,2087.2,-1,volume,dispense,1,trial_2,cv,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-samples-duration,391.4,9.684319019,measure,dispense,blank,ul,channel_1,trial,2,samples,duration,,,,encoder-volume-50.0-channel_0-trial-3-end-encoder,2369.5,4.67E+00,encoder,volume,50,channel_0,trial,3,end,encoder,,
2086.6,volume-aspirate-1.0-trial_1-cv,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_2-d,2087.3,3.15,volume,dispense,1,trial_2,d,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-2-samples-count,391.4,4.00E+01,measure,dispense,blank,ul,channel_1,trial,2,samples,count,,,,encoder-volume-50.0-channel_0-trial-3-end-drift,2369.5,0.001,encoder,volume,50,channel_0,trial,3,end,drift,,
2086.7,volume-aspirate-1.0-trial_1-d,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_2-celsius-pipette-avg,0,None,volume,dispense,1,trial_2,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-3-celsius-pipette,408.3,2.42E+01,measure,init,blank,ul,channel_1,trial,3,celsius,pipette,,,,encoder-volume-50.0-channel_0-trial-4-start-target,2483.9,71.5,encoder,volume,50,channel_0,trial,4,start,target,,
0,volume-aspirate-1.0-trial_1-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_2-humidity-pipette-avg,0,None,volume,dispense,1,trial_2,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-3-humidity-pipette,408.4,4.86E+01,measure,init,blank,ul,channel_1,trial,3,humidity,pipette,,,,encoder-volume-50.0-channel_0-trial-4-start-encoder,2484,7.15E+01,encoder,volume,50,channel_0,trial,4,start,encoder,,
0,volume-aspirate-1.0-trial_1-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_3-average,2087.3,1.04,volume,aspirate,1,trial_3,average,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-3-celsius-air,408.4,21.6,measure,init,blank,ul,channel_1,trial,3,celsius,air,,,,encoder-volume-50.0-channel_0-trial-4-start-drift,2484.1,6.00E-03,encoder,volume,50,channel_0,trial,4,start,drift,,
2086.7,volume-dispense-1.0-trial_1-average,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_3-cv,2087.4,-1,volume,aspirate,1,trial_3,cv,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-3-humidity-air,408.5,4.77E+01,measure,init,blank,ul,channel_1,trial,3,humidity,air,,,,encoder-volume-50.0-channel_0-trial-4-end-target,2484.1,4.673,encoder,volume,50,channel_0,trial,4,end,target,,
2086.8,volume-dispense-1.0-trial_1-cv,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_3-d,2087.5,3.86,volume,aspirate,1,trial_3,d,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-3-pascals-air,408.5,1.00E+03,measure,init,blank,ul,channel_1,trial,3,pascals,air,,,,encoder-volume-50.0-channel_0-trial-4-end-encoder,2484.2,4.674,encoder,volume,50,channel_0,trial,4,end,encoder,,
2086.9,volume-dispense-1.0-trial_1-d,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_3-celsius-pipette-avg,0,None,volume,aspirate,1,trial_3,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-3-celsius-liquid,408.6,2.50E+01,measure,init,blank,ul,channel_1,trial,3,celsius,liquid,,,,encoder-volume-50.0-channel_0-trial-4-end-drift,2484.3,1.00E-03,encoder,volume,50,channel_0,trial,4,end,drift,,
0,volume-dispense-1.0-trial_1-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_3-humidity-pipette-avg,0,None,volume,aspirate,1,trial_3,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-3-grams-average,408.6,16.51046064,measure,init,blank,ul,channel_1,trial,3,grams,average,,,,encoder-volume-50.0-channel_0-trial-5-start-target,2599.1,71.5,encoder,volume,50,channel_0,trial,5,start,target,,
